@timestamp,latency_ms,billed_ms,memory_size_mb,memory_used_mb,cold_start_ms
2026-08-05 14:37:50.625,561.82,5223,512,501,4660.90
2026-08-05 14:36:41.939,639.21,6194,512,502,5554.38
2026-08-05 14:35:11.005,558.59,5243,512,502,4683.66
2026-08-05 14:33:35.468,574.44,5448,512,502,4872.92
2026-08-05 14:07:55.595,637.27,6304,512,501,5665.80
2026-08-05 14:05:39.188,568.58,5614,512,503,5044.57
